   2 10666592 1.538 0.030 2.000 0.012 0.271 0.002 4.023 0.004 5.811 0.213  1.884 0.143
   5  8554498 1.173 0.020 1.785 0.010 0.291 0.001 4.004 0.003 3.373 0.133  6.121 0.282
   7 11853905 1.118 0.031 1.553 0.013 0.420 0.002 4.104 0.005 2.488 0.117  7.274 0.686
  41  6521045 1.121 0.012 1.517 0.006 0.452 0.001 4.125 0.002 2.509 0.088  6.826 0.279
  42  8866102 1.218 0.036 1.354 0.013 0.691 0.004 4.260 0.005 2.654 0.111  2.779 0.469
  69  3544595 0.901 0.021 0.916 0.007 1.653 0.002 4.469 0.003 0.791 0.037  7.191 1.120
  72 11904151 0.896 0.017 1.057 0.007 1.068 0.001 4.342 0.003 1.059 0.030 12.210 1.004
  85  5866724 1.209 0.034 1.402 0.013 0.618 0.003 4.226 0.005 2.568 0.089  3.642 0.531
 108  4914423 1.099 0.049 1.449 0.020 0.509 0.002 4.157 0.007 2.242 0.136  7.258 1.216
 122  8349582 1.069 0.029 1.417 0.012 0.530 0.001 4.164 0.004 1.864 0.089  8.965 0.937
 123  5094751 1.072 0.040 1.339 0.015 0.629 0.003 4.214 0.006 2.075 0.102  6.769 0.987
 244  4349452 1.166 0.043 1.301 0.015 0.745 0.005 4.275 0.007 2.372 0.117  3.352 0.736
 245  8478994 0.814 0.023 0.773 0.007 2.483 0.002 4.572 0.004 0.471 0.023  5.489 1.862
 246 11295422 1.067 0.016 1.238 0.006 0.792 0.001 4.280 0.002 1.617 0.051  6.854 0.453
 260  8292840 1.140 0.041 1.342 0.015 0.664 0.005 4.239 0.006 2.523 0.129  4.123 0.710
 262 11807274 1.226 0.047 1.576 0.019 0.440 0.003 4.131 0.007 3.354 0.144  4.026 0.653
 263 10514430 1.056 0.019 1.585 0.010 0.373 0.001 4.061 0.003 2.642 0.130  8.185 0.436
 268  3425851 1.206 0.048 1.366 0.016 0.666 0.006 4.248 0.007 2.713 0.143  3.051 0.701
 269  7670943 1.242 0.050 1.421 0.018 0.610 0.006 4.227 0.007 2.930 0.167  2.880 0.652
 274  8077137 1.131 0.045 1.640 0.020 0.361 0.002 4.061 0.007 3.318 0.168  5.884 0.744
 275 10586004 1.207 0.038 1.663 0.015 0.370 0.002 4.077 0.005 2.835 0.140  5.838 0.656
 276 11133306 1.060 0.044 1.187 0.016 0.893 0.004 4.314 0.007 1.629 0.091  5.718 1.276
 277 11401755 1.054 0.021 1.627 0.010 0.345 0.001 4.038 0.004 3.021 0.114  7.504 0.475
 280  4141376 1.013 0.043 1.036 0.014 1.284 0.006 4.413 0.007 1.363 0.076  3.719 1.331
 281  4143755 0.927 0.019 1.420 0.009 0.456 0.001 4.100 0.003 2.043 0.098 11.767 0.738
 285  6196457 1.244 0.067 1.729 0.027 0.339 0.003 4.057 0.009 3.314 0.211  5.019 0.952
 288  9592705 1.516 0.076 2.127 0.032 0.222 0.002 3.962 0.009 5.999 0.310  2.406 0.496
 370  8494142 1.256 0.057 1.822 0.023 0.292 0.003 4.015 0.009 4.097 0.262  4.462 0.672
 974  9414417 1.297 0.052 1.877 0.023 0.276 0.002 4.003 0.007 5.011 0.205  3.557 0.402
 975  3632418 1.281 0.014 1.860 0.007 0.280 0.001 4.006 0.002 4.591 0.111  3.966 0.129
1612 10963065 1.066 0.024 1.223 0.009 0.820 0.003 4.290 0.003 1.924 0.075  5.177 0.517
1925  9955598 0.888 0.014 0.882 0.005 1.824 0.002 4.495 0.002 0.631 0.029  7.450 0.814
3158  6278762 0.749 0.018 0.751 0.006 2.494 0.001 4.561 0.003 0.349 0.018 12.918 2.194
