   2 10666592 1.546 0.035 2.001 0.016 0.272 0.002 4.024 0.004 5.744 0.175  1.635 0.101 0.278 0.017 0.0282 0.0038
   7 11853905 1.146 0.030 1.567 0.014 0.419 0.005 4.107 0.005 2.533 0.100  6.925 0.552 0.257 0.013 0.0232 0.0026
  41  6521045 1.138 0.009 1.525 0.004 0.452 0.001 4.127 0.001 2.564 0.048  6.217 0.140 0.267 0.006 0.0219 0.0020
  42  8866102 1.238 0.041 1.359 0.015 0.694 0.003 4.264 0.005 2.671 0.083  2.325 0.310 0.268 0.016 0.0187 0.0021
  69  3544595 0.919 0.020 0.922 0.007 1.650 0.002 4.471 0.003 0.771 0.028  7.040 0.679 0.252 0.015 0.0133 0.0015
  72 11904151 0.920 0.016 1.067 0.000 1.067 0.001 4.345 0.003 1.083 0.017 11.584 0.699 0.250 0.006 0.0137 0.0006
  85  5866724 1.272 0.043 1.424 0.016 0.621 0.002 4.234 0.006 2.655 0.083  3.054 0.414 0.255 0.015 0.0228 0.0026
 108  4914423 1.138 0.049 1.467 0.021 0.508 0.002 4.161 0.007 2.245 0.108  7.091 0.809 0.250 0.020 0.0224 0.0031
 122  8349582 1.159 0.086 1.466 0.041 0.518 0.019 4.169 0.015 2.060 0.138  6.794 1.103 0.283 0.034 0.0373 0.0060
 123  5094751 1.087 0.041 1.346 0.000 0.628 0.002 4.216 0.006 2.097 0.065  6.625 0.718 0.251 0.017 0.0160 0.0022
 244  4349452 1.202 0.050 1.313 0.018 0.747 0.004 4.281 0.007 2.397 0.095  2.877 0.492 0.258 0.021 0.0170 0.0023
 245  8478994 0.830 0.014 0.778 0.005 2.480 0.002 4.575 0.002 0.467 0.017  4.761 0.954 0.252 0.010 0.0097 0.0009
 246 11295426 1.112 0.014 1.257 0.005 0.789 0.001 4.285 0.002 1.577 0.032  6.854 0.300 0.250 0.005 0.0245 0.0016
 260  8292840 1.176 0.043 1.355 0.017 0.665 0.004 4.244 0.006 2.548 0.104  3.694 0.489 0.254 0.017 0.0146 0.0020
 262 11807274 1.217 0.049 1.574 0.021 0.440 0.002 4.129 0.007 3.305 0.128  4.262 0.393 0.252 0.018 0.0167 0.0019
 263 10514430 1.086 0.046 1.603 0.023 0.371 0.002 4.063 0.007 2.619 0.158  8.027 0.742 0.251 0.024 0.0164 0.0030
 268  3425851 1.220 0.061 1.388 0.028 0.642 0.022 4.239 0.012 2.854 0.157  2.649 0.571 0.273 0.023 0.0170 0.0027
 269  7670943 1.228 0.071 1.426 0.031 0.597 0.019 4.219 0.012 3.204 0.205  1.966 0.401 0.318 0.029 0.0204 0.0033
 275 10586004 1.257 0.047 1.689 0.022 0.368 0.003 4.082 0.006 2.852 0.124  5.676 0.477 0.255 0.028 0.0332 0.0046
 276 11133306 1.097 0.043 1.201 0.016 0.892 0.004 4.319 0.006 1.650 0.076  4.929 0.887 0.258 0.019 0.0186 0.0025
 277 11401755 1.070 0.021 1.636 0.016 0.344 0.009 4.039 0.003 3.000 0.090  7.261 0.341 0.252 0.010 0.0122 0.0011
 280  4141376 1.006 0.036 1.035 0.012 1.276 0.004 4.410 0.005 1.261 0.048  3.867 0.753 0.273 0.020 0.0133 0.0018
 281  4143755 0.912 0.010 1.414 0.006 0.454 0.000 4.096 0.002 2.003 0.028 12.116 0.428 0.257 0.015 0.0096 0.0007
 285  6196457 1.267 0.044 1.743 0.020 0.337 0.002 4.058 0.006 3.325 0.158  4.761 0.469 0.265 0.020 0.0293 0.0040
 288  9592705 1.636 0.090 2.178 0.039 0.223 0.002 3.975 0.010 6.269 0.300  1.727 0.368 0.257 0.020 0.0290 0.0033
 370  8494142 1.494 0.032 1.913 0.015 0.300 0.002 4.048 0.003 4.908 0.214  2.028 0.138 0.262 0.015 0.0258 0.0035
 974  9414417 1.289 0.030 1.874 0.014 0.276 0.001 4.002 0.004 4.887 0.130  3.425 0.181 0.261 0.011 0.0165 0.0019
1612 10963065 1.065 0.023 1.222 0.009 0.821 0.002 4.291 0.003 1.927 0.053  5.029 0.398 0.257 0.010 0.0124 0.0011
1925  9955598 0.888 0.017 0.882 0.006 1.822 0.001 4.495 0.003 0.608 0.025  7.281 0.506 0.284 0.019 0.0200 0.0027
