 1430163 1.34 0.06 0.06 1.48 0.03 0.03 0.4099 0.0171 0.0174 4.221 0.013 0.014  1.9  0.6 0.5
 1435467 1.31 0.08 0.16 1.69 0.04 0.06 0.2675 0.0066 0.0067 4.094 0.012 0.019  3.7  1.7 0.8
 2837475 1.41 0.06 0.04 1.63 0.03 0.03 0.3295 0.0105 0.0103 4.167 0.010 0.010  2.0  0.3 0.4
 3424541 1.39 0.07 0.06 2.47 0.06 0.06 0.0930 0.0046 0.0044 3.797 0.016 0.015  4.0  0.6 0.6
 3427720 1.08 0.06 0.06 1.12 0.02 0.02 0.7817 0.0262 0.0255 4.378 0.012 0.012  3.5  1.5 1.4
 3456181 1.36 0.07 0.12 2.10 0.05 0.06 0.1463 0.0042 0.0040 3.924 0.010 0.012  3.9  1.0 0.5
 3632418 1.31 0.08 0.07 1.88 0.04 0.04 0.1993 0.0034 0.0034 4.010 0.010 0.009  4.1  0.5 0.6
 3656476 1.10 0.05 0.06 1.34 0.03 0.03 0.4588 0.0109 0.0105 4.225 0.008 0.008  7.2  2.2 1.8
 3733735 1.39 0.04 0.05 1.42 0.03 0.03 0.4883 0.0235 0.0231 4.277 0.014 0.014  0.8  0.4 0.4
 4586099 1.32 0.08 0.11 1.86 0.04 0.05 0.2049 0.0064 0.0062 4.018 0.012 0.013  3.9  0.9 0.6
 4638884 1.39 0.05 0.05 1.89 0.03 0.03 0.2070 0.0071 0.0072 4.030 0.011 0.012  3.3  0.5 0.5
 4914923 1.19 0.05 0.06 1.42 0.02 0.02 0.4205 0.0045 0.0045 4.212 0.007 0.007  4.9  1.2 1.1
 5021689 1.22 0.08 0.07 1.79 0.04 0.04 0.2114 0.0045 0.0046 4.016 0.011 0.010  5.0  0.6 0.6
 5184732 1.17 0.04 0.04 1.33 0.02 0.02 0.4976 0.0119 0.0120 4.258 0.007 0.007  4.8  1.3 1.2
 5371516 1.51 0.08 0.08 2.08 0.04 0.04 0.1689 0.0038 0.0038 3.983 0.009 0.010  2.8  0.5 0.5
 5450445 1.39 0.07 0.06 1.99 0.04 0.04 0.1775 0.0041 0.0040 3.985 0.009 0.009  3.9  0.6 0.6
 5512589 1.09 0.05 0.05 1.65 0.03 0.03 0.2429 0.0064 0.0062 4.040 0.009 0.009  7.9  1.2 1.1
 5596656 1.14 0.13 0.12 3.67 0.17 0.17 0.0229 0.0009 0.0009 3.362 0.010 0.010  5.9  2.0 1.3
 5773345 1.45 0.06 0.07 2.00 0.03 0.03 0.1800 0.0034 0.0034 3.994 0.008 0.008  3.5  0.6 0.6
 5774694 1.06 0.05 0.06 1.00 0.03 0.03 1.0618 0.0611 0.0614 4.463 0.017 0.019  1.9  1.9 1.6
 5939450 1.53 0.10 0.09 2.88 0.07 0.06 0.0639 0.0018 0.0017 3.701 0.017 0.013  3.0  0.6 0.6
 5955122 1.18 0.06 0.06 2.09 0.05 0.05 0.1304 0.0045 0.0044 3.872 0.009 0.009  5.4  0.6 0.4
 6106415 1.09 0.05 0.05 1.23 0.02 0.02 0.5820 0.0058 0.0057 4.293 0.008 0.008  5.1  1.5 1.4
 6116048 1.00 0.06 0.05 1.21 0.03 0.03 0.5599 0.0131 0.0132 4.269 0.008 0.008  7.6  1.9 1.8
 6225718 1.17 0.04 0.05 1.24 0.01 0.02 0.6093 0.0062 0.0061 4.316 0.007 0.007  2.6  0.9 0.8
 6442183 1.08 0.05 0.05 1.71 0.03 0.03 0.2168 0.0040 0.0040 4.006 0.009 0.008  7.8  1.2 1.1
 6508366 1.41 0.08 0.09 2.13 0.05 0.05 0.1455 0.0045 0.0043 3.928 0.011 0.011  3.6  0.7 0.6
 6603624 1.03 0.06 0.06 1.16 0.03 0.03 0.6568 0.0171 0.0169 4.320 0.008 0.008  7.9  2.4 2.2
 6679371 1.44 0.07 0.08 2.16 0.05 0.04 0.1426 0.0040 0.0038 3.925 0.010 0.009  3.4  0.6 0.6
 6933899 1.21 0.05 0.14 1.63 0.04 0.06 0.2787 0.0071 0.0071 4.092 0.009 0.013  5.4  2.5 0.8
 7103006 1.43 0.07 0.06 1.94 0.04 0.04 0.1944 0.0068 0.0068 4.015 0.011 0.012  3.2  0.5 0.6
 7206837 1.37 0.06 0.07 1.59 0.03 0.03 0.3388 0.0108 0.0108 4.169 0.011 0.011  2.6  0.7 0.5
 7282890 1.52 0.10 0.13 2.36 0.06 0.07 0.1157 0.0035 0.0035 3.873 0.012 0.013  3.0  0.9 0.6
 7529180 1.39 0.04 0.03 1.49 0.03 0.03 0.4226 0.0248 0.0235 4.236 0.017 0.017  1.3  0.3 0.3
 7668623 1.39 0.15 0.08 2.29 0.07 0.06 0.1174 0.0041 0.0043 3.868 0.015 0.015  3.9  0.6 1.0
 7680114 1.12 0.08 0.06 1.43 0.04 0.03 0.3846 0.0106 0.0105 4.178 0.010 0.010  6.5  1.6 1.5
 7747078 1.10 0.06 0.06 1.93 0.04 0.04 0.1523 0.0031 0.0031 3.907 0.010 0.010  6.5  0.8 0.8
 7799349 1.55 0.08 0.18 2.96 0.07 0.14 0.0596 0.0017 0.0015 3.682 0.007 0.010  3.3  1.4 0.5
 7800289 1.48 0.10 0.10 2.86 0.08 0.08 0.0633 0.0024 0.0023 3.694 0.015 0.014  3.2  0.6 0.6
 7871531 0.80 0.04 0.03 0.86 0.02 0.02 1.2692 0.0654 0.0589 4.477 0.017 0.015 12.4  3.2 3.6
 7940546 1.31 0.08 0.07 1.92 0.04 0.04 0.1846 0.0038 0.0037 3.987 0.009 0.009  4.2  0.7 0.7
 7976303 1.06 0.06 0.05 1.96 0.05 0.04 0.1423 0.0032 0.0035 3.882 0.009 0.008  6.2  0.7 0.8
 8006161 0.97 0.06 0.06 0.93 0.02 0.02 1.1965 0.0273 0.0276 4.485 0.010 0.010  5.1  3.3 3.2
 8026226 1.45 0.08 0.08 2.83 0.06 0.06 0.0639 0.0020 0.0020 3.695 0.011 0.011  3.4  0.6 0.6
 8179536 1.28 0.06 0.07 1.37 0.03 0.03 0.4992 0.0186 0.0183 4.272 0.012 0.012  2.0  0.9 0.7
 8228742 1.29 0.06 0.14 1.84 0.04 0.06 0.2054 0.0047 0.0048 4.016 0.008 0.014  4.5  1.2 0.6
 8360349 1.64 0.10 0.14 2.61 0.06 0.08 0.0920 0.0026 0.0025 3.818 0.011 0.012  2.5  0.8 0.4
 8367710 1.54 0.07 0.08 2.06 0.05 0.05 0.1756 0.0066 0.0066 3.996 0.011 0.012  2.6  0.5 0.5
 8394589 0.98 0.07 0.07 1.15 0.03 0.03 0.6435 0.0213 0.0210 4.307 0.013 0.013  6.5  2.1 2.0
 8524425 1.15 0.05 0.05 1.84 0.03 0.04 0.1849 0.0044 0.0044 3.969 0.008 0.008  7.1  0.9 0.7
 8561221 1.48 0.10 0.14 3.17 0.09 0.12 0.0465 0.0013 0.0013 3.604 0.011 0.012  3.3  1.1 0.7
 8579578 1.42 0.09 0.11 2.17 0.06 0.05 0.1376 0.0053 0.0051 3.913 0.014 0.014  3.5  0.9 0.7
 8694723 1.02 0.08 0.07 1.49 0.04 0.04 0.3091 0.0074 0.0069 4.101 0.014 0.012  6.8  1.5 1.6
 8702606 1.30 0.06 0.07 2.49 0.05 0.06 0.0839 0.0023 0.0022 3.757 0.007 0.007  4.7  0.5 0.5
 8738809 1.50 0.08 0.17 2.25 0.06 0.08 0.1294 0.0037 0.0037 3.900 0.011 0.015  3.3  1.3 0.5
 8751420 1.34 0.06 0.07 2.74 0.06 0.06 0.0653 0.0014 0.0014 3.689 0.007 0.007  4.4  0.7 0.6
