 1430163 1867  92  84.6 2.0 6520 84 -0.11 0.09
 1435467 1295  52  70.8 0.8 6264 84 -0.01 0.09
 2837475 1630  54  75.1 1.3 6700 84 -0.02 0.09
 3424541  745  55  41.5 1.1 6080 84  0.01 0.09
 3427720 2756 191 119.9 2.0 6040 84 -0.03 0.09
 3456181  921  30  52.0 0.8 6270 84 -0.19 0.09
 3632418 1159  44  60.9 0.4 6190 84 -0.16 0.09
 3656476 1887  40  93.3 1.3 5710 84  0.34 0.09
 3733735 1974 121  92.8 2.5 6715 84 -0.04 0.09
 4586099 1146  50  61.5 0.9 6296 84 -0.17 0.09
 4638884 1195  61  61.2 1.1 6375 84 -0.03 0.09
 4914923 1849  46  88.6 0.3 5905 84  0.17 0.09
 5021689 1120  38  63.2 0.6 6168 84 -0.08 0.09
 5184732 2068  47  95.7 1.3 5840 84  0.38 0.09
 5371516 1017  49  55.6 0.6 6408 84  0.17 0.09
 5450445 1084  27  57.3 0.7 6112 84  0.05 0.09
 5512589 1224  43  68.2 0.7 5750 84  0.06 0.09
 5596656  277   6  20.3 0.4 5094 84 -0.46 0.09
 5773345 1100  24  57.7 0.6 6130 84  0.21 0.09
 5774694          140.2 4.0 5875 84  0.07 0.09
 5939450  605  22  33.9 0.3 6282 84 -0.18 0.09
 5955122  861  24  49.2 0.9 5837 84 -0.17 0.09
 6106415 2260  53 104.1 0.3 5990 84 -0.09 0.09
 6116048 2107  40 100.9 1.4 5935 84 -0.24 0.09
 6225718 2301  40 105.8 0.4 6230 84 -0.17 0.09
 6442183 1176  25  64.2 0.3 5760 84 -0.11 0.09
 6508366  926  36  51.6 0.8 6354 84 -0.08 0.09
 6603624 2402  51 110.4 1.7 5625 84  0.28 0.09
 6679371  980  29  50.2 0.7 6260 84 -0.13 0.09
 6933899 1391  32  72.2 1.0 5860 84  0.02 0.09
 7103006 1124  54  59.5 1.1 6394 84  0.05 0.09
 7206837 1592  70  78.9 1.4 6304 84  0.14 0.09
 7282890  834  49  46.0 0.7 6384 84  0.02 0.09
 7529180 1871 134  85.7 2.7 6700 84 -0.02 0.09
 7668623  821  57  46.5 0.8 6270 84 -0.02 0.09
 7680114 1684  47  85.1 1.3 5855 84  0.11 0.09
 7747078  936  32  53.9 0.3 5840 84 -0.26 0.09
 7799349  561  13  33.7 0.4 5115 84  0.41 0.09
 7800289  592  30  33.5 0.6 6354 84 -0.23 0.09
 7871531          153.3 3.6 5400 84 -0.24 0.09
 7940546 1059  25  58.5 0.5 6264 84 -0.19 0.09
 7976303  851  20  51.7 0.6 6053 84 -0.53 0.09
 8006161 3481 133 149.3 1.8 5390 84  0.34 0.09
 8026226  545  22  34.5 0.6 6230 84 -0.16 0.09
 8179536 2070  92  95.0 2.0 6344 84  0.01 0.09
 8228742 1171  34  61.8 0.6 6042 84 -0.14 0.09
 8360349  726  27  41.0 0.6 6340 84  0.12 0.09
 8367710 1085  52  56.1 1.1 6500 84  0.16 0.09
 8394589 2165 124 109.5 1.9 6114 84 -0.36 0.09
 8524425 1081  28  59.4 0.6 5634 84  0.14 0.09
 8561221  467  23  29.6 0.4 5245 84 -0.06 0.09
 8579578  949  96  50.1 0.9 6380 84 -0.09 0.09
 8694723 1456  43  75.3 0.8 6120 84 -0.59 0.09
 8702606  664  16  39.9 0.5 5540 84 -0.09 0.09
 8738809  893  25  48.7 0.8 6090 84  0.11 0.09
 8751420  598  13  34.7 0.4 5264 84 -0.15 0.09
 8760414 2384 121 117.4 0.4 5787 84 -1.14 0.09
 8938364 1681  37  85.8 1.1 5630 84 -0.20 0.09
 9098294 2233  75 108.8 1.7 5840 84 -0.13 0.09
 9139151 2705 163 117.2 2.1 6125 84  0.11 0.09
 9139163 1608  58  81.3 1.1 6400 84  0.15 0.09
 9206432 1853  46  84.7 1.3 6608 84  0.23 0.09
 9226926 1520  76  73.2 1.4 6892 84 -0.23 0.09
 9812850 1195  60  64.9 1.1 6325 84 -0.16 0.09
 9908400  657  65  36.1 0.6 6400 84  0.34 0.09
 9955598 3148 353 152.5 3.1 5410 84  0.11 0.09
10016239 2261  68 102.7 2.0 6340 84 -0.05 0.09
10018963  987  32  55.5 0.5 6020 84 -0.35 0.09
10068307  951  30  53.9 0.5 6114 84 -0.22 0.09
10162436  968  49  55.6 0.7 6200 84 -0.08 0.09
10355856 1330  42  66.8 0.9 6350 84 -0.19 0.09
10454113 2261  62 103.8 1.3 6120 84 -0.06 0.09
10462940 2487 151 103.5 2.8 6154 84  0.10 0.09
10516096 1700  30  84.6 1.1 5940 84 -0.06 0.09
10644253 2819 131 123.6 2.7 6030 84  0.12 0.09
10709834 1447  66  67.2 1.0 6508 84 -0.08 0.09
10923629  711  37  42.5 0.8 6214 84  0.16 0.09
10963065 2184  62 103.0 1.0 6060 84 -0.20 0.09
11026764  895  29  50.5 0.6 5682 84  0.05 0.09
11081729 1990  84  89.9 1.4 6630 84 -0.12 0.09
11137075 1167  32  65.2 1.3 5590 84 -0.06 0.09
11244118 1420  31  71.3 0.9 5745 84  0.35 0.09
11253226 1638  48  77.2 1.0 6605 84 -0.08 0.09
11414712  707  20  43.5 0.7 5635 84 -0.05 0.09
11717120  585   8  37.4 0.9 5150 84 -0.30 0.09
12009504 1826  40  88.5 1.2 6065 84 -0.09 0.09
12258514 1440  43  74.8 0.8 5990 84  0.04 0.09
