 1430163 1867  92  84.6 2.0 6796  78 6806 177 -0.20 0.30
 1435467 1295  52  70.8 0.8 6433  86 6521 164 -0.20 0.30
 1725815 1045  47  55.4 1.3 6550  82 6532 165 -0.20 0.30
 2010607  675  86  42.5 1.7 6361  71 6796 175 -0.20 0.30
 2309595  643  20  39.3 2.2 5238  65 5315 112 -0.20 0.30
 2450729 1053  68  61.9 0.6 6029  59 6093 152 -0.20 0.30
 2837475 1630  54  75.1 1.3 6688  57 6715 174 -0.20 0.30
 2849125  728  27  41.4 1.8 6158  56 6421 154 -0.20 0.30
 2852862 1030  38  53.8 0.7 6417  58 6572 172 -0.20 0.30
 2865774 1252  90  62.7 2.7 6074  63 6187 153 -0.20 0.30
 2991448 1111  56  61.1 1.6 5836  70 5749 143 -0.20 0.30
 2998253           89.0 3.6 6333  54 6538 167 -0.20 0.30
 3112152 1219  67  63.9 1.9 6282  59 6591 169 -0.20 0.30
 3112889  876 135  53.3 2.2 6433  65 6383 155 -0.20 0.30
 3115178  431   9  28.3 0.5 5046  85 5003 112 -0.20 0.30
 3123191           89.8 2.2 6568  93 6524 171 -0.20 0.30
 3223000          115.5 4.0 6198  47 6292 178 -0.20 0.30
 3236382 1659  95  74.8 1.2 6831  58 6847 197 -0.20 0.30
 3241581          122.9 1.6 5770  81 5779 134 -0.20 0.30
 3329196  435  10  29.6 0.5 5161  65 5131 125 -0.20 0.30
 3344897  874  56  46.5 0.8 6630  83 6650 167 -0.20 0.30
 3424541  745  55  41.5 1.1 6475  66 6703 169 -0.20 0.30
 3427720 2756 191 119.9 2.0 6023  51 6107 142 -0.20 0.30
 3429205  368  10  24.1 0.9 5116  62 5130 101 -0.20 0.30
 3430893 1707  89  79.1 1.7 6270  60          -0.20 0.30
 3437637  850  28  48.0 2.5 5483  58 5561 124 -0.20 0.30
 3438633  987  56  55.8 1.7 6432  73 6399 159 -0.20 0.30
 3456181  921  30  52.0 0.8 6732  91 6589 166 -0.20 0.30
 3534307 1436  74  78.2 1.0 5781  59 5749 143 -0.20 0.30
 3545753  681  41  43.2 1.3 6206  58 6188 167 -0.20 0.30
 3547794 1190 129  67.7 1.8 6825  81          -0.20 0.30
 3630240  250   9  18.3 0.5 5256  71 5496 123 -0.20 0.30
 3632418 1159  44  60.9 0.4          5838 178 -0.20 0.30
 3633847 1109  53  61.1 1.0 6122  51 6298 143 -0.20 0.30
 3633889 2020  63  97.7 1.7 6452  49 6619 151 -0.20 0.30
 3642422  478  39  29.4 0.5 5325  98 5206 113 -0.20 0.30
 3643774 1419  68  76.4 1.2 6029 104 6180 130 -0.20 0.30
 3656476 1887  40  93.3 1.3 5684  56 5738 130 -0.20 0.30
 3657002 1603  59  80.1 1.1 6006  64 6094 148 -0.20 0.30
 3661135  998  30  54.5 1.0 5603  71 5656 126 -0.20 0.30
 3730801 1484  71  74.6 2.2 5894  58 6017 145 -0.20 0.30
 3733735 1974 121  92.8 2.5 6711  66 6827 176 -0.20 0.30
 3735871          122.7 3.3 6176  50 6305 147 -0.20 0.30
 3761840  625  57  34.4 1.4 6236  61 6673 176 -0.20 0.30
 3854781 1193  38  62.3 1.0 5705 102 5974 131 -0.20 0.30
 3942719  780  38  45.9 3.7 5736  65 5785 136 -0.20 0.30
 3952307  846  96  51.6 0.9 6210 118 6079 142 -0.20 0.30
 3952580  638  22  36.4 0.6 6115 101 6593 166 -0.20 0.30
 3967430 1905 100  86.6 1.6 6622  53 6903 176 -0.20 0.30
 3967859           93.6 3.0 6211  78 6196 160 -0.20 0.30
 4038445  491  14  31.3 0.5 5327  69 5333 113 -0.20 0.30
 4049576  942  70  51.9 1.7 6066  84 6117 150 -0.20 0.30
 4064447  287  10  19.2 0.3 5755 118 5792 161 -0.20 0.30
 4072740  257   7  18.2 0.4 5015  71 4903  95 -0.20 0.30
 4165030 1102  52  61.8 1.5 5758  63 5744 135 -0.20 0.30
 4243623  494  10  31.9 0.4 5094  63 5136 110 -0.20 0.30
 4247542 1245  73  73.1 1.9 6440  66          -0.20 0.30
 4252818 1318  65  69.2 7.4 5630  58 5686 147 -0.20 0.30
 4346201 1080  49  55.6 1.0 6147  51 6337 164 -0.20 0.30
 4347652  260  20  17.4 0.6 5043  75 5128 102 -0.20 0.30
 4351319  385   8  24.0 0.4 5001  61 5120  97 -0.20 0.30
 4378838  393  12  24.1 0.3 5053  71 5053 102 -0.20 0.30
 4446300  849  22  50.0 0.4 5410  60 5385 129 -0.20 0.30
 4450844 1367  32  72.9 1.0 5968  59 6104 151 -0.20 0.30
 4457351 1085 121  60.8 1.7 5483  58 5503 117 -0.20 0.30
 4465324 1744  64  86.2 2.8 5850  59 6040 150 -0.20 0.30
 4465529 1396 170  73.2 2.4 6345  49 6575 191 -0.20 0.30
 4543171 1480  54  71.0 1.7 6129  59 6325 157 -0.20 0.30
 4554830 1751  42  85.6 1.2 5466  60 5538 143 -0.20 0.30
 4571351           79.5 1.9 6000  59 6065 135 -0.20 0.30
 4571904  763  41  44.2 1.4 6069  78 6562 189 -0.20 0.30
 4574610  600  58  34.9 0.3          5970 263 -0.20 0.30
 4577484  817  63  47.0 1.4 5424  74 5520 124 -0.20 0.30
