Kepler-10   HN-1 6166.601780    -98741.31     2.43     6781.84     9.59    45.49     0.10     -17.71     3.44     0.169     0.007    -4.964     0.035
Kepler-10   HN-1 6175.411392    -98734.93     1.35     6774.99     9.58    45.53     0.10     -17.76     1.91     0.165     0.002    -4.985     0.012
Kepler-10   HN-1 6175.522663    -98735.49     1.62     6783.12     9.59    45.49     0.10     -30.77     2.29     0.169     0.003    -4.962     0.016
Kepler-10   HN-1 6178.374666    -98743.11     1.83     6776.68     9.58    45.59     0.10     -15.62     2.59     0.172     0.004    -4.949     0.021
Kepler-10   HN-1 6178.495416    -98732.25     1.72     6773.01     9.58    45.56     0.10     -25.69     2.44     0.169     0.004    -4.963     0.019
Kepler-10   HN-1 6179.374240    -98735.30     1.50     6779.25     9.59    45.57     0.10     -21.44     2.12     0.172     0.003    -4.946     0.015
Kepler-10   HN-1 6179.521829    -98733.81     1.70     6780.24     9.59    45.53     0.10     -31.98     2.40     0.169     0.003    -4.960     0.017
Kepler-10   HN-1 6180.401128    -98734.05     1.36     6777.35     9.58    45.56     0.10     -19.29     1.93     0.169     0.002    -4.962     0.012
Kepler-10   HN-1 6180.544608    -98735.41     1.61     6776.73     9.58    45.57     0.10     -23.93     2.28     0.168     0.003    -4.968     0.017
Kepler-10   HN-1 6181.436487    -98739.95     1.30     6779.53     9.59    45.51     0.10     -25.57     1.83     0.166     0.002    -4.977     0.011
Kepler-10   HN-1 6181.530351    -98739.28     9.01     6779.92     9.59    45.32     0.10     -32.03    12.74     0.130     0.038    -5.235     0.376
Kepler-10   HN-1 6181.535293    -98734.51     1.63     6781.55     9.59    45.56     0.10     -25.95     2.30     0.166     0.003    -4.976     0.017
Kepler-10   HN-1 6182.399070    -98737.32     1.40     6774.86     9.58    45.53     0.10     -32.16     1.98     0.167     0.002    -4.973     0.013
Kepler-10   HN-1 6182.535872    -98739.53     1.64     6785.03     9.60    45.52     0.10     -29.50     2.31     0.163     0.003    -4.997     0.018
Kepler-10   HN-1 6183.374314    -98737.48     2.05     6786.25     9.60    45.53     0.10     -29.45     2.89     0.161     0.005    -5.006     0.028
Kepler-10   HN-1 6183.560930    -98733.88     1.80     6777.20     9.58    45.57     0.10     -21.00     2.55     0.163     0.004    -4.996     0.023
Kepler-10   HN-2 6245.331796        -3.50     1.12     6872.63     6.51    57.04     0.06      -9.21     1.21     0.174     0.002    -4.942     0.012
Kepler-10   HN-2 6252.342248         3.29     1.34     6884.00     4.64    55.14     0.05      20.13     1.28     0.177     0.003    -4.927     0.014
Kepler-10   HN-2 6366.692119         0.61     1.76     6900.39    14.46    55.63     0.14     -17.75     1.81     0.162     0.005    -5.003     0.029
Kepler-10   HN-2 6379.677462         4.07     1.58     6886.22     5.63    55.29     0.05      10.18     2.20     0.172     0.004    -4.951     0.021
Kepler-10   HN-2 6379.750888         3.24     1.52     6873.00     4.43    55.47     0.04     -10.48     2.13     0.167     0.004    -4.975     0.021
Kepler-10   HN-2 6380.664384         1.80     1.38     6879.80     5.91    56.08     0.06      -1.96     1.58     0.182     0.004    -4.904     0.017
Kepler-10   HN-2 6380.740237         1.12     1.25     6884.51     5.25    56.15     0.05      -2.82     1.34     0.182     0.003    -4.901     0.014
Kepler-10   HN-2 6381.686472        -2.32     1.13     6894.40     7.66    55.63     0.07       7.74     1.62     0.174     0.002    -4.942     0.012
Kepler-10   HN-2 6381.751875        -4.23     1.13     6887.66     8.22    55.63     0.08      -7.77     1.30     0.173     0.002    -4.948     0.012
Kepler-10   HN-2 6382.672703        -5.47     1.04     6884.12     9.77    55.94     0.10       9.56     1.44     0.174     0.002    -4.942     0.010
Kepler-10   HN-2 6382.751805         1.96     1.22     6894.64     5.64    55.62     0.05       5.44     1.15     0.174     0.003    -4.939     0.013
Kepler-10   HN-2 6396.609619         2.57     1.03     6915.24    13.28    55.66     0.13      -6.36     1.28     0.188     0.002    -4.877     0.010
Kepler-10   HN-2 6396.725747         3.43     1.01     6915.00    12.00    55.66     0.12      -7.59     1.03     0.189     0.002    -4.875     0.008
Kepler-10   HN-2 6398.615630         5.54     1.92     6913.00     7.20    54.82     0.07      -4.72     2.15     0.184     0.005    -4.892     0.023
Kepler-10   HN-2 6398.728476         0.20     1.40     6904.93     6.15    55.93     0.06      10.37     1.51     0.192     0.004    -4.860     0.015
Kepler-10   HN-2 6418.589045         4.11     1.45     6885.17     5.92    56.41     0.06      -6.40     1.90     0.164     0.004    -4.991     0.022
Kepler-10   HN-2 6418.690068         2.61     1.35     6879.68     4.36    56.78     0.04       0.56     1.56     0.161     0.004    -5.008     0.020
Kepler-10   HN-2 6420.587036         1.29     2.01     6882.83     9.16    56.45     0.09       8.48     2.93     0.159     0.007    -5.021     0.041
Kepler-10   HN-2 6420.699707        -3.31     1.18     6889.13     5.43    56.58     0.05     -14.68     0.96     0.165     0.003    -4.988     0.015
Kepler-10   HN-2 6421.590234         1.75     1.05     6890.54     9.19    56.38     0.09       8.90     1.48     0.164     0.002    -4.994     0.012
Kepler-10   HN-2 6421.687301         1.45     0.77     6891.36    25.47    56.49     0.25       1.93     0.94     0.169     0.001    -4.968     0.007
Kepler-10   HN-2 6432.560191        -2.39     0.92     6886.97    13.15    56.42     0.13      -5.76     1.14     0.169     0.002    -4.964     0.009
Kepler-10   HN-2 6432.705384        -4.17     0.88     6896.52    17.04    56.14     0.17      -4.27     1.22     0.173     0.002    -4.947     0.008
Kepler-10   HN-2 6433.563407        -4.34     0.89     6891.06    14.73    55.99     0.14       4.23     1.01     0.169     0.002    -4.967     0.008
Kepler-10   HN-2 6433.709649        -8.20     0.84     6902.05    17.40    56.04     0.17      -0.01     1.25     0.174     0.001    -4.940     0.007
